Title,Publication Year,Publication Venue,System NO.,Configuration,Role,Interaction,Application Domain,Relationship,Proxemics,Dynamics
"GestEar: Combining Audio and Motion Sensing for Gesture Recognition on Smartwatches. <a href=""https://dl.acm.org/doi/abs/10.1145/3341163.3347735"">Click</a>",2019,Ubicomp,61,N-Wise,Input Device,Interaction,Systems control; Cross-device unlocking,Single user,Near,Mobile
"EPARS: Elderly Physical Activity Reminder System using Smartphone and Wearable Sensors. <a href=""https://dl.acm.org/doi/abs/10.1145/3341162.3350845"">Click</a>",2019,Ubicomp,62,Pairwise,Data Collector,Other,Elderly physical activity reminder system,Single user,Near,Mobile
"mLung++: Automated Characterization of Abnormal Lung Sounds in Pulmonary  Patients Using Multimodal Mobile Sensors. <a href=""https://dl.acm.org/doi/abs/10.1145/3341162.3344850"">Click</a>",2019,Ubicomp,63,N-Wise,Data Collector,Other,Detection of abnormal lung sounds,Single user,Personal / Social,Mobile
"Opisthenar: Hand Poses and Finger Tapping Recognition by Observing Back of Hand Using Embedded Wrist Camera. <a href=""https://dl.acm.org/doi/abs/10.1145/3332165.3347867"">Click</a>",2019,UIST,64,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"Using Built-In Sensors to Predict and Utilize User Satisfaction for CPU Settings on Smartphones. <a href=""https://dl.acm.org/doi/10.1145/3314408"">Click</a>",2019,Ubicomp,65,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"WatchPen: Using Cross-Device Interaction Concepts to Augment Pen-Based Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,66,N-Wise,Input Device & Extended Screen,Viewing / Sensing,Drawing,Single user,Personal / Social,Mobile
"WRIST: Watch-Ring Interaction and Sensing Technique for Wrist Gestures and Macro-Micro Pointing. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,67-1,N-Wise,Input Device & Data Collector & Central Device,Interaction,Drawing; Games; Smart home control,Single user,Room / Public,Semi-fixed
"WRIST: Watch-Ring Interaction and Sensing Technique for Wrist Gestures and Macro-Micro Pointing. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,67-2,Pairwise,Input Device & Data Collector & Central Device,Interaction,Navigation,Single user,Near,Mobile
"Astral: Prototyping Mobile and Smart Object Interactive Behaviours Using Familiar Applications. <a href=""https://dl.acm.org/doi/abs/10.1145/3322276.3322329"">Click</a>",2019,DIS,68,Pairwise,Input Device & Extended Screen,Interaction,\,Single user,Personal / Social,Semi-fixed
"When David Meets Goliath: Combining Smartwatches with a Large Vertical Display for Visual Data Exploration. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173593"">Click</a>",2018,CHI,69,N-Wise,Input Device & Extended Screen,Interaction,\,Single user,Personal / Social,Semi-fixed
"Pointing at a Distance with Everyday Smart Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173747"">Click</a>",2018,CHI,70-1,Pairwise,Input Device,Interaction,\,Single user,Room / Public,Semi-fixed
"Pointing at a Distance with Everyday Smart Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173747"">Click</a>",2018,CHI,70-1,Pairwise,Input Device,Interaction,\,Single user,Room / Public,Semi-fixed
"Easy Return: An App for Indoor Backtracking Assistance. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173591"">Click</a>",2018,CHI,71,Pairwise,Input Device & Audio Output Device,Interaction,Support for blind person,Single user,Near,Mobile
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,72,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,73-1,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,73-2,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,73-3,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"FieldGuide: Smartwatches in a Multi-display Museum Environment. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188694"">Click</a>",2018,CHI,73-4,Pairwise,Extended Screen,Interaction,Museum gallery exploration,Single user,Room / Public,Fixed
"SAW: Wristband-based Authentication for Desktop Computers. <a href=""https://dl.acm.org/doi/10.1145/3264935"">Click</a>",2018,Ubicomp,74,Pairwise,Data Collector,Other,Authentication,Single user,Personal / Social,Semi-fixed
"TwistIn: Tangible Authentication of Smart Devices via Motion Co-analysis with a Smartwatch. <a href=""https://dl.acm.org/doi/10.1145/3214275"">Click</a>",2018,Ubicomp,75,Pairwise,Input Device,Interaction,Authentication,Single user,Near,Mobile
